id,location_id,description,priority_level,budget_required,estimated_duration_hrs,status
REQ-UG-001,LOC-UG-113,Overflowing refuse container at Banking Square - Annex.,3,4200.0,8.0,PENDING
REQ-UG-002,LOC-UG-086,Roof leak at Botanical Gardens - Block C.,4,4900.0,8.0,COMPLETED
REQ-UG-003,LOC-UG-050,Broken streetlight at Jubilee Hall - Block B.,3,5300.0,5.0,COMPLETED
REQ-UG-004,LOC-UG-040,Blocked drain at Noguchi Memorial Institute - Block B.,4,2500.0,12.0,PENDING
REQ-UG-005,LOC-UG-061,Air conditioner malfunction at Main Gate - Block C.,2,2100.0,4.0,PENDING
REQ-UG-006,LOC-UG-169,Power outage at Elizabeth Sey Hall - West Wing.,2,2900.0,5.0,PENDING
REQ-UG-007,LOC-UG-078,Overflowing refuse container at Hilla Limann Hall - Block C.,3,3200.0,9.0,PENDING
REQ-UG-008,LOC-UG-028,Generator servicing at Physical Development & Municipal Services Directorate.,2,2200.0,7.0,IN_PROGRESS
REQ-UG-009,LOC-UG-119,Water leakage at School of Agriculture - Annex.,2,3000.0,14.0,COMPLETED
REQ-UG-010,LOC-UG-057,Faulty projector at ICT Directorate - Block B.,4,2300.0,15.0,PENDING
REQ-UG-011,LOC-UG-037,Broken streetlight at School of Engineering Sciences - Block B.,4,5200.0,13.0,PENDING
REQ-UG-012,LOC-UG-190,Blocked drain at Noguchi Memorial Institute - North Wing.,3,4900.0,14.0,PENDING
REQ-UG-013,LOC-UG-171,Overflowing refuse container at Bush Canteen - West Wing.,4,5400.0,8.0,COMPLETED
REQ-UG-014,LOC-UG-047,Generator servicing at Jean Nelson Aka Hall - Block B.,2,3400.0,14.0,IN_PROGRESS
REQ-UG-015,LOC-UG-067,Generator servicing at School of Engineering Sciences - Block C.,4,1100.0,14.0,PENDING
REQ-UG-016,LOC-UG-103,Overflowing refuse container at Legon Hall - Annex.,4,4500.0,6.0,IN_PROGRESS
REQ-UG-017,LOC-UG-109,Roof leak at Elizabeth Sey Hall - Annex.,3,600.0,14.0,COMPLETED
REQ-UG-018,LOC-UG-173,Generator servicing at Banking Square - West Wing.,2,4600.0,11.0,PENDING
REQ-UG-019,LOC-UG-100,Pipe burst at Noguchi Memorial Institute - Annex.,3,1100.0,2.0,IN_PROGRESS
REQ-UG-020,LOC-UG-140,Blocked drain at Jubilee Hall - East Wing.,2,5000.0,7.0,COMPLETED
REQ-UG-021,LOC-UG-090,Power outage at Department of Geography - Block C.,4,3400.0,7.0,COMPLETED
REQ-UG-022,LOC-UG-122,Faulty projector at Okponglo Gate - East Wing.,2,4500.0,12.0,COMPLETED
REQ-UG-023,LOC-UG-088,Damaged pavement at Physical Development & Municipal Services Directorate - Block C.,4,3400.0,7.0,COMPLETED
REQ-UG-024,LOC-UG-048,Damaged pavement at Hilla Limann Hall - Block B.,4,5300.0,4.0,COMPLETED
REQ-UG-025,LOC-UG-158,Air conditioner malfunction at School of Law - West Wing.,4,800.0,9.0,IN_PROGRESS
REQ-UG-026,LOC-UG-098,Damaged pavement at School of Law - Annex.,2,500.0,3.0,IN_PROGRESS
REQ-UG-027,LOC-UG-108,Generator servicing at Hilla Limann Hall - Annex.,4,4800.0,12.0,COMPLETED
REQ-UG-028,LOC-UG-068,Power outage at School of Law - Block C.,2,2400.0,13.0,COMPLETED
REQ-UG-029,LOC-UG-057,Broken door lock at ICT Directorate - Block B.,3,3400.0,7.0,PENDING
REQ-UG-030,LOC-UG-034,Ceiling repair at Great Hall - Block B.,2,5600.0,7.0,IN_PROGRESS
REQ-UG-031,LOC-UG-165,Faulty projector at Volta Hall - West Wing.,4,1900.0,5.0,IN_PROGRESS
REQ-UG-032,LOC-UG-171,Generator servicing at Bush Canteen - West Wing.,3,3400.0,10.0,COMPLETED
REQ-UG-033,LOC-UG-167,Internet outage at Jean Nelson Aka Hall - West Wing.,3,2700.0,8.0,IN_PROGRESS
REQ-UG-034,LOC-UG-181,Damaged pavement at Main Gate - North Wing.,4,2100.0,14.0,COMPLETED
REQ-UG-035,LOC-UG-048,Roof leak at Hilla Limann Hall - Block B.,2,5600.0,9.0,IN_PROGRESS
REQ-UG-036,LOC-UG-063,Generator servicing at Balme Library - Block C.,3,2500.0,16.0,IN_PROGRESS
REQ-UG-037,LOC-UG-110,Elevator maintenance at Jubilee Hall - Annex.,4,1000.0,12.0,PENDING
REQ-UG-038,LOC-UG-078,Pipe burst at Hilla Limann Hall - Block C.,3,800.0,3.0,COMPLETED
REQ-UG-039,LOC-UG-084,Broken door lock at Sports Stadium - Block C.,2,3800.0,12.0,COMPLETED
REQ-UG-040,LOC-UG-150,Water leakage at Department of Geography - East Wing.,4,500.0,7.0,PENDING
REQ-UG-041,LOC-UG-168,Broken streetlight at Hilla Limann Hall - West Wing.,3,4300.0,4.0,COMPLETED
REQ-UG-042,LOC-UG-037,Pipe burst at School of Engineering Sciences - Block B.,2,1600.0,15.0,IN_PROGRESS
REQ-UG-043,LOC-UG-040,Blocked drain at Noguchi Memorial Institute - Block B.,3,5500.0,6.0,COMPLETED
REQ-UG-044,LOC-UG-177,Elevator maintenance at ICT Directorate - West Wing.,2,4700.0,10.0,PENDING
REQ-UG-045,LOC-UG-127,Overflowing refuse container at School of Engineering Sciences - East Wing.,2,3800.0,3.0,COMPLETED
REQ-UG-046,LOC-UG-113,Generator servicing at Banking Square - Annex.,2,4000.0,4.0,IN_PROGRESS
REQ-UG-047,LOC-UG-108,Blocked drain at Hilla Limann Hall - Annex.,2,3500.0,16.0,COMPLETED
REQ-UG-048,LOC-UG-015,Roof leak at Volta Hall.,3,1400.0,16.0,PENDING
REQ-UG-049,LOC-UG-128,Internet outage at School of Law - East Wing.,4,4300.0,1.0,PENDING
REQ-UG-050,LOC-UG-083,Roof leak at Banking Square - Block C.,4,4100.0,16.0,COMPLETED
REQ-UG-051,LOC-UG-076,Pipe burst at Mensah Sarbah Hall - Block C.,3,2800.0,14.0,IN_PROGRESS
REQ-UG-052,LOC-UG-174,Power outage at Sports Stadium - West Wing.,2,4500.0,12.0,COMPLETED
REQ-UG-053,LOC-UG-166,Water leakage at Mensah Sarbah Hall - West Wing.,2,4400.0,2.0,COMPLETED
REQ-UG-054,LOC-UG-189,Ceiling repair at School of Public Health - North Wing.,3,5600.0,4.0,COMPLETED
REQ-UG-055,LOC-UG-124,Roof leak at Great Hall - East Wing.,2,700.0,7.0,COMPLETED
REQ-UG-056,LOC-UG-107,Generator servicing at Jean Nelson Aka Hall - Annex.,2,2600.0,4.0,COMPLETED
REQ-UG-057,LOC-UG-094,Air conditioner malfunction at Great Hall - Annex.,3,5400.0,7.0,IN_PROGRESS
REQ-UG-058,LOC-UG-112,Air conditioner malfunction at Night Market - Annex.,3,2100.0,2.0,IN_PROGRESS
REQ-UG-059,LOC-UG-075,Air conditioner malfunction at Volta Hall - Block C.,3,3000.0,11.0,COMPLETED
REQ-UG-060,LOC-UG-070,Pipe burst at Noguchi Memorial Institute - Block C.,4,2700.0,7.0,COMPLETED
REQ-UG-061,LOC-UG-127,Broken door lock at School of Engineering Sciences - East Wing.,2,2600.0,7.0,IN_PROGRESS
REQ-UG-062,LOC-UG-183,Broken streetlight at Balme Library - North Wing.,2,4200.0,3.0,PENDING
REQ-UG-063,LOC-UG-103,Overflowing refuse container at Legon Hall - Annex.,4,3000.0,2.0,IN_PROGRESS
REQ-UG-064,LOC-UG-077,Power outage at Jean Nelson Aka Hall - Block C.,2,700.0,7.0,IN_PROGRESS
REQ-UG-065,LOC-UG-156,Broken door lock at Department of Computer Science - West Wing.,4,800.0,13.0,COMPLETED
REQ-UG-066,LOC-UG-038,Generator servicing at School of Law - Block B.,4,4900.0,3.0,PENDING
REQ-UG-067,LOC-UG-011,Generator servicing at University Hospital.,4,3400.0,6.0,PENDING
REQ-UG-068,LOC-UG-170,Internet outage at Jubilee Hall - West Wing.,2,3100.0,4.0,COMPLETED
REQ-UG-069,LOC-UG-004,Air conditioner malfunction at Great Hall.,2,5500.0,10.0,COMPLETED
REQ-UG-070,LOC-UG-182,Broken streetlight at Okponglo Gate - North Wing.,3,1600.0,14.0,PENDING
REQ-UG-071,LOC-UG-082,Water leakage at Night Market - Block C.,3,4100.0,2.0,IN_PROGRESS
REQ-UG-072,LOC-UG-146,Faulty projector at Botanical Gardens - East Wing.,2,5700.0,4.0,IN_PROGRESS
REQ-UG-073,LOC-UG-148,Overflowing refuse container at Physical Development & Municipal Services Directorate - East Wing.,3,3300.0,3.0,PENDING
REQ-UG-074,LOC-UG-175,Damaged pavement at Athletic Oval - West Wing.,4,4200.0,5.0,IN_PROGRESS
REQ-UG-075,LOC-UG-198,Damaged pavement at Hilla Limann Hall - North Wing.,4,1100.0,3.0,COMPLETED
REQ-UG-076,LOC-UG-121,Blocked drain at Main Gate - East Wing.,2,4500.0,1.0,IN_PROGRESS
REQ-UG-077,LOC-UG-002,Water leakage at Okponglo Gate.,4,4700.0,4.0,PENDING
REQ-UG-078,LOC-UG-056,Pipe burst at Botanical Gardens - Block B.,2,1300.0,16.0,PENDING
REQ-UG-079,LOC-UG-071,Overflowing refuse container at University Hospital - Block C.,4,2000.0,15.0,COMPLETED
REQ-UG-080,LOC-UG-191,Internet outage at University Hospital - North Wing.,2,2800.0,5.0,COMPLETED
REQ-UG-081,LOC-UG-195,Power outage at Volta Hall - North Wing.,3,4500.0,16.0,IN_PROGRESS
REQ-UG-082,LOC-UG-172,Ceiling repair at Night Market - West Wing.,3,800.0,2.0,PENDING
REQ-UG-083,LOC-UG-016,Water leakage at Mensah Sarbah Hall.,4,4800.0,3.0,IN_PROGRESS
REQ-UG-084,LOC-UG-080,Broken streetlight at Jubilee Hall - Block C.,4,4300.0,6.0,IN_PROGRESS
REQ-UG-085,LOC-UG-156,Water leakage at Department of Computer Science - West Wing.,3,2800.0,15.0,IN_PROGRESS
REQ-UG-086,LOC-UG-174,Internet outage at Sports Stadium - West Wing.,2,5600.0,4.0,IN_PROGRESS
REQ-UG-087,LOC-UG-166,Internet outage at Mensah Sarbah Hall - West Wing.,4,5600.0,14.0,IN_PROGRESS
REQ-UG-088,LOC-UG-099,Broken door lock at School of Public Health - Annex.,3,2200.0,11.0,IN_PROGRESS
REQ-UG-089,LOC-UG-072,Water leakage at Commonwealth Hall - Block C.,4,4600.0,11.0,COMPLETED
REQ-UG-090,LOC-UG-186,Water leakage at Department of Computer Science - North Wing.,2,4300.0,10.0,COMPLETED
REQ-UG-091,LOC-UG-110,Ceiling repair at Jubilee Hall - Annex.,2,2900.0,13.0,COMPLETED
REQ-UG-092,LOC-UG-097,Elevator maintenance at School of Engineering Sciences - Annex.,2,5600.0,15.0,IN_PROGRESS
REQ-UG-093,LOC-UG-177,Water leakage at ICT Directorate - West Wing.,3,2100.0,9.0,IN_PROGRESS
REQ-UG-094,LOC-UG-041,Elevator maintenance at University Hospital - Block B.,2,2300.0,5.0,COMPLETED
REQ-UG-095,LOC-UG-038,Broken streetlight at School of Law - Block B.,4,4800.0,16.0,IN_PROGRESS
REQ-UG-096,LOC-UG-137,Power outage at Jean Nelson Aka Hall - East Wing.,4,4000.0,16.0,IN_PROGRESS
REQ-UG-097,LOC-UG-052,Broken door lock at Night Market - Block B.,4,1900.0,10.0,COMPLETED
REQ-UG-098,LOC-UG-015,Generator servicing at Volta Hall.,3,3400.0,7.0,IN_PROGRESS
REQ-UG-099,LOC-UG-151,Broken door lock at Main Gate - West Wing.,2,5500.0,13.0,IN_PROGRESS
REQ-UG-100,LOC-UG-139,Power outage at Elizabeth Sey Hall - East Wing.,4,5600.0,12.0,PENDING
REQ-UG-101,LOC-UG-060,Damaged pavement at Department of Geography - Block B.,4,3800.0,9.0,COMPLETED
REQ-UG-102,LOC-UG-083,Roof leak at Banking Square - Block C.,4,4200.0,7.0,PENDING
REQ-UG-103,LOC-UG-055,Blocked drain at Athletic Oval - Block B.,2,1600.0,10.0,IN_PROGRESS
REQ-UG-104,LOC-UG-148,Elevator maintenance at Physical Development & Municipal Services Directorate - East Wing.,3,3000.0,5.0,PENDING
REQ-UG-105,LOC-UG-012,Ceiling repair at Commonwealth Hall.,3,2800.0,4.0,IN_PROGRESS
REQ-UG-106,LOC-UG-162,Roof leak at Commonwealth Hall - West Wing.,2,1400.0,11.0,COMPLETED
REQ-UG-107,LOC-UG-008,Air conditioner malfunction at School of Law.,3,3800.0,1.0,PENDING
REQ-UG-108,LOC-UG-009,Blocked drain at School of Public Health.,4,3600.0,7.0,IN_PROGRESS
REQ-UG-109,LOC-UG-200,Broken streetlight at Jubilee Hall - North Wing.,3,1100.0,15.0,COMPLETED
REQ-UG-110,LOC-UG-156,Internet outage at Department of Computer Science - West Wing.,3,5800.0,2.0,IN_PROGRESS
REQ-UG-111,LOC-UG-052,Internet outage at Night Market - Block B.,3,1000.0,1.0,PENDING
REQ-UG-112,LOC-UG-009,Faulty projector at School of Public Health.,3,6000.0,15.0,IN_PROGRESS
REQ-UG-113,LOC-UG-017,Pipe burst at Jean Nelson Aka Hall.,4,4500.0,13.0,PENDING
REQ-UG-114,LOC-UG-181,Power outage at Main Gate - North Wing.,3,2500.0,8.0,COMPLETED
REQ-UG-115,LOC-UG-023,Ceiling repair at Banking Square.,4,3700.0,13.0,PENDING
REQ-UG-116,LOC-UG-115,Pipe burst at Athletic Oval - Annex.,2,2800.0,8.0,COMPLETED
REQ-UG-117,LOC-UG-057,Internet outage at ICT Directorate - Block B.,2,2100.0,12.0,PENDING
REQ-UG-118,LOC-UG-142,Ceiling repair at Night Market - East Wing.,2,5800.0,2.0,IN_PROGRESS
REQ-UG-119,LOC-UG-132,Overflowing refuse container at Commonwealth Hall - East Wing.,4,4600.0,16.0,PENDING
